Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-05 08 38 00.000,8.63,15.3125,0.0,15.31,15.75,15.0625,15.0,ON,0,0.32,heatersONstart,,day: 2 hour: 8.63 TargTemp: 16.0heaters Turned,
2022-10-05 08 38 20.007,8.63,15.375,0.19,15.44,16.25,15.0625,15.0,ON,0,0.32,start,,day: 2 hour: 8.63 TargTemp: 16.0,
2022-10-05 08 38 40.014,8.63,15.3125,-0.02,15.31,16.25,15.0625,15.0,ON,0,0.32,start,,day: 2 hour: 8.63 TargTemp: 16.0,
2022-10-05 08 39 00.020,8.65,15.375,0.17,15.43,16.25,15.0625,15.0,ON,0,0.32,start,,day: 2 hour: 8.65 TargTemp: 16.0,
2022-10-05 08 39 20.025,8.65,15.375,0.15,15.43,16.25,15.0625,15.0,ON,0,0.32,start,,day: 2 hour: 8.65 TargTemp: 16.0,
2022-10-05 08 39 40.030,8.65,15.375,0.14,15.42,16.25,15.125,15.0,ON,0,0.32,,day: 2 hour: 8.65 TargTemp: 16.0,
2022-10-05 08 40 00.033,8.67,15.375,0.12,15.42,16.25,15.1875,15.0,ON,0,0.32,,day: 2 hour: 8.67 TargTemp: 16.0,
2022-10-05 08 40 20.036,8.67,15.4375,0.3,15.54,16.25,15.25,15.0,ON,0,0.32,,day: 2 hour: 8.67 TargTemp: 16.0,
2022-10-05 08 40 40.039,8.67,15.5,0.46,15.65,16.25,15.25,15.0,ON,0,0.32,,day: 2 hour: 8.67 TargTemp: 16.0,
2022-10-05 08 41 00.041,8.68,15.5,0.41,15.64,16.25,15.3125,15.0,ON,0,0.32,,day: 2 hour: 8.68 TargTemp: 16.0,
2022-10-05 08 41 20.043,8.68,15.5,0.37,15.62,16.25,15.3125,15.0625,ON,0,0.32,,day: 2 hour: 8.68 TargTemp: 16.0,
2022-10-05 08 41 40.036,8.68,15.5625,0.52,15.74,16.25,15.3125,15.0,ON,0,0.32,,day: 2 hour: 8.68 TargTemp: 16.0,
2022-10-05 08 42 00.039,8.7,15.5625,0.47,15.72,16.25,15.3125,15.0625,ON,0,0.32,,day: 2 hour: 8.7 TargTemp: 16.0,
2022-10-05 08 42 20.041,8.7,15.5625,0.42,15.7,16.25,15.375,15.0,ON,0,0.32,,day: 2 hour: 8.7 TargTemp: 16.0,
2022-10-05 08 42 40.043,8.7,15.625,0.57,15.81,16.25,15.375,15.0,ON,0,0.32,,day: 2 hour: 8.7 TargTemp: 16.0,
2022-10-05 08 43 00.045,8.72,15.625,0.51,15.8,16.25,15.375,15.0,ON,0,0.32,,day: 2 hour: 8.72 TargTemp: 16.0,
2022-10-05 08 43 20.046,8.72,15.625,0.46,15.78,16.25,15.375,15.0,ON,0,0.32,,day: 2 hour: 8.72 TargTemp: 16.0,
2022-10-05 08 43 40.046,8.72,15.625,0.41,15.76,16.25,15.375,15.0,ON,0,0.32,,day: 2 hour: 8.72 TargTemp: 16.0,
