Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-05 07 13 00.000,7.22,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,start,,day: 2 hour: 7.22 TargTemp: 5.0,
2022-10-05 07 13 20.007,7.22,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,start,,day: 2 hour: 7.22 TargTemp: 5.0,
2022-10-05 07 13 40.014,7.22,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,start,,day: 2 hour: 7.22 TargTemp: 5.0,
2022-10-05 07 14 00.020,7.23,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,start,,day: 2 hour: 7.23 TargTemp: 5.0,
2022-10-05 07 14 20.025,7.23,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,start,,day: 2 hour: 7.23 TargTemp: 5.0,
2022-10-05 07 14 40.030,7.23,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.23 TargTemp: 5.0,
2022-10-05 07 15 00.033,7.25,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.25 TargTemp: 5.0,
2022-10-05 07 15 20.037,7.25,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.25 TargTemp: 5.0,
2022-10-05 07 15 40.039,7.25,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.25 TargTemp: 5.0,
2022-10-05 07 16 00.036,7.27,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.27 TargTemp: 5.0,
2022-10-05 07 16 20.039,7.27,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.27 TargTemp: 5.0,
2022-10-05 07 16 40.041,7.27,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.27 TargTemp: 5.0,
2022-10-05 07 17 00.043,7.28,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.28 TargTemp: 5.0,
2022-10-05 07 17 20.045,7.28,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.28 TargTemp: 5.0,
2022-10-05 07 17 40.046,7.28,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.28 TargTemp: 5.0,
2022-10-05 07 18 00.047,7.3,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.3 TargTemp: 5.0,
2022-10-05 07 18 20.049,7.3,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.3 TargTemp: 5.0,
2022-10-05 07 18 40.049,7.3,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.3 TargTemp: 5.0,
2022-10-05 07 19 00.050,7.32,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.32 TargTemp: 5.0,
2022-10-05 07 19 20.051,7.32,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.32 TargTemp: 5.0,
2022-10-05 07 19 40.051,7.32,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.32 TargTemp: 5.0,
2022-10-05 07 20 00.052,7.33,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.33 TargTemp: 5.0,
2022-10-05 07 20 20.041,7.33,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.33 TargTemp: 5.0,
2022-10-05 07 20 40.043,7.33,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.33 TargTemp: 5.0,
2022-10-05 07 21 00.036,7.35,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.35 TargTemp: 5.0,
2022-10-05 07 21 20.036,7.35,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.35 TargTemp: 5.0,
2022-10-05 07 21 40.036,7.35,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.35 TargTemp: 5.0,
2022-10-05 07 22 00.039,7.37,15.0,0.0,15.0,4.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.37 TargTemp: 5.0,
