Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-04 22 22 00.000,22.37,15.0,0.0,15.0,4.5,14.6875,14.8125,OFF,0,0,start,,day: 1 hour: 22.37 TargTemp: 5.0,
2022-10-04 22 22 20.007,22.37,15.0,0.0,15.0,4.5,14.6875,14.8125,OFF,0,0,start,,day: 1 hour: 22.37 TargTemp: 5.0,
2022-10-04 22 22 40.014,22.37,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,start,,day: 1 hour: 22.37 TargTemp: 5.0,
2022-10-04 22 23 00.020,22.38,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,start,,day: 1 hour: 22.38 TargTemp: 5.0,
2022-10-04 22 23 20.025,22.38,15.0,0.0,15.0,4.5,14.6875,14.8125,OFF,0,0,start,,day: 1 hour: 22.38 TargTemp: 5.0,
2022-10-04 22 23 40.029,22.38,15.0,0.0,15.0,4.5,14.6875,14.8125,OFF,0,0,,day: 1 hour: 22.38 TargTemp: 5.0,
2022-10-04 22 24 00.033,22.4,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.4 TargTemp: 5.0,
2022-10-04 22 24 20.036,22.4,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.4 TargTemp: 5.0,
2022-10-04 22 24 40.039,22.4,15.0,0.0,15.0,4.5,14.6875,14.8125,OFF,0,0,,day: 1 hour: 22.4 TargTemp: 5.0,
2022-10-04 22 25 00.041,22.42,15.0,0.0,15.0,4.5,14.6875,14.8125,OFF,0,0,,day: 1 hour: 22.42 TargTemp: 5.0,
2022-10-04 22 25 20.043,22.42,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.42 TargTemp: 5.0,
2022-10-04 22 25 40.045,22.42,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.42 TargTemp: 5.0,
2022-10-04 22 26 00.046,22.43,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.43 TargTemp: 5.0,
2022-10-04 22 26 20.047,22.43,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.43 TargTemp: 5.0,
2022-10-04 22 26 40.048,22.43,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.43 TargTemp: 5.0,
2022-10-04 22 27 00.044,22.45,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.45 TargTemp: 5.0,
2022-10-04 22 27 20.043,22.45,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.45 TargTemp: 5.0,
2022-10-04 22 27 40.045,22.45,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.45 TargTemp: 5.0,
2022-10-04 22 28 00.046,22.47,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.47 TargTemp: 5.0,
2022-10-04 22 28 20.046,22.47,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.47 TargTemp: 5.0,
2022-10-04 22 28 40.047,22.47,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.47 TargTemp: 5.0,
2022-10-04 22 29 00.046,22.48,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.48 TargTemp: 5.0,
2022-10-04 22 29 20.047,22.48,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.48 TargTemp: 5.0,
2022-10-04 22 29 40.048,22.48,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.48 TargTemp: 5.0,
2022-10-04 22 30 00.046,22.5,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.5 TargTemp: 5.0,
2022-10-04 22 30 20.047,22.5,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.5 TargTemp: 5.0,
2022-10-04 22 30 40.048,22.5,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.5 TargTemp: 5.0,
2022-10-04 22 31 00.046,22.52,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.52 TargTemp: 5.0,
2022-10-04 22 31 20.047,22.52,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.52 TargTemp: 5.0,
2022-10-04 22 31 40.046,22.52,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.52 TargTemp: 5.0,
2022-10-04 22 32 00.046,22.53,15.0,0.0,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.53 TargTemp: 5.0,
