Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-04 21 54 00.000,21.9,15.125,0.0,15.12,4.5,14.8125,14.875,OFF,0,0,start,,day: 1 hour: 21.9 TargTemp: 5.0,
2022-10-04 21 54 20.007,21.9,15.125,0.0,15.12,4.5,14.75,14.875,OFF,0,0,start,,day: 1 hour: 21.9 TargTemp: 5.0,
2022-10-04 21 54 40.006,21.9,15.0625,-0.19,15.0,4.5,14.75,14.875,OFF,0,0,start,,day: 1 hour: 21.9 TargTemp: 5.0,
2022-10-04 21 55 00.001,21.92,15.125,0.02,15.13,4.5,14.75,14.875,OFF,0,0,start,,day: 1 hour: 21.92 TargTemp: 5.0,
