Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-07 14 11 00.000,14.18,14.8125,44.44,29.62,4.75,14.4375,13.125,OFF,0,0,start,,day: 4 hour: 14.18 TargTemp: 5.0,
2022-10-07 14 11 20.007,14.18,14.8125,39.99,28.14,4.75,14.4375,13.1875,OFF,0,0,start,,day: 4 hour: 14.18 TargTemp: 5.0,
2022-10-07 14 11 40.010,14.18,14.8125,35.99,26.81,4.75,14.4375,13.1875,OFF,0,0,start,,day: 4 hour: 14.18 TargTemp: 5.0,
2022-10-07 14 12 00.010,14.2,14.8125,32.39,25.61,4.75,14.4375,13.1875,OFF,0,0,start,,day: 4 hour: 14.2 TargTemp: 5.0,
2022-10-07 14 12 20.016,14.2,14.8125,29.16,24.53,4.75,14.4375,13.1875,OFF,0,0,start,,day: 4 hour: 14.2 TargTemp: 5.0,
2022-10-07 14 40 00.054,14.67,14.8125,0.0,14.81,4.75,14.4375,14.375,OFF,0,0, MustLog, ,day: 4 hour: 14.67 TargTemp: 5.0,
2022-10-07 15 10 00.050,15.17,14.875,0.04,14.89,4.75,14.5,14.0625,OFF,0,0, MustLog, ,day: 4 hour: 15.17 TargTemp: 5.0,
2022-10-07 15 40 00.045,15.67,14.875,0.0,14.88,4.75,14.5,15.0,OFF,0,0, MustLog, ,day: 4 hour: 15.67 TargTemp: 5.0,
2022-10-07 16 01 00.045,16.02,14.875,0.0,14.88,4.75,14.5625,15.25,OFF,0,0, Heater turn off Fault, ,day: 4 hour: 16.02 TargTemp: 5.0,
2022-10-07 16 10 00.052,16.17,14.875,-0.02,14.87,4.75,14.5625,15.25,OFF,0,0, MustLog, ,day: 4 hour: 16.17 TargTemp: 5.0,
2022-10-07 16 40 00.040,16.67,14.9375,0.0,14.94,4.75,14.5625,14.75,OFF,0,0, MustLog, ,day: 4 hour: 16.67 TargTemp: 5.0,
2022-10-07 17 10 00.053,17.17,14.9375,0.0,14.94,4.75,14.5625,13.9375,OFF,0,0, MustLog, ,day: 4 hour: 17.17 TargTemp: 5.0,
2022-10-07 17 40 00.050,17.67,14.9375,0.11,14.98,4.75,14.5625,9.9375,OFF,0,0, MustLog, ,day: 4 hour: 17.67 TargTemp: 5.0,
