Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-04 22 44 00.000,22.73,15.0,0.19,15.06,4.5,14.625,14.875,OFF,0,0,start,,day: 1 hour: 22.73 TargTemp: 5.0,
2022-10-04 22 44 20.006,22.73,15.0,0.17,15.06,4.5,14.625,14.875,OFF,0,0,start,,day: 1 hour: 22.73 TargTemp: 5.0,
2022-10-04 22 44 40.006,22.73,15.0,0.15,15.05,4.5,14.625,14.875,OFF,0,0,start,,day: 1 hour: 22.73 TargTemp: 5.0,
2022-10-04 22 45 00.013,22.75,15.0,0.14,15.05,4.5,14.625,14.875,OFF,0,0,start,,day: 1 hour: 22.75 TargTemp: 5.0,
2022-10-04 22 45 20.019,22.75,15.0,0.12,15.04,4.5,14.625,14.875,OFF,0,0,start,,day: 1 hour: 22.75 TargTemp: 5.0,
2022-10-04 22 45 40.024,22.75,15.0,0.11,15.04,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.75 TargTemp: 5.0,
2022-10-04 22 46 00.029,22.77,15.0,0.1,15.03,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.77 TargTemp: 5.0,
2022-10-04 22 46 20.032,22.77,15.0,0.09,15.03,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.77 TargTemp: 5.0,
2022-10-04 22 46 40.036,22.77,15.0,0.08,15.03,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.77 TargTemp: 5.0,
2022-10-04 22 47 00.038,22.78,15.0,0.07,15.02,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.78 TargTemp: 5.0,
2022-10-04 22 47 20.040,22.78,15.0,0.07,15.02,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.78 TargTemp: 5.0,
2022-10-04 22 47 40.042,22.78,15.0,0.06,15.02,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.78 TargTemp: 5.0,
2022-10-04 22 48 00.044,22.8,15.0,0.05,15.02,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.8 TargTemp: 5.0,
2022-10-04 22 48 20.045,22.8,15.0,0.05,15.02,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.8 TargTemp: 5.0,
2022-10-04 22 48 40.046,22.8,15.0,0.04,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.8 TargTemp: 5.0,
2022-10-04 22 49 00.047,22.82,15.0,0.04,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.82 TargTemp: 5.0,
2022-10-04 22 49 20.048,22.82,15.0,0.03,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.82 TargTemp: 5.0,
2022-10-04 22 49 40.049,22.82,15.0,0.03,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.82 TargTemp: 5.0,
2022-10-04 22 50 00.046,22.83,15.0,0.03,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.83 TargTemp: 5.0,
2022-10-04 22 50 20.046,22.83,15.0,0.03,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.83 TargTemp: 5.0,
2022-10-04 22 50 40.046,22.83,15.0,0.02,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.83 TargTemp: 5.0,
2022-10-04 22 51 00.046,22.85,15.0,0.02,15.01,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.85 TargTemp: 5.0,
2022-10-04 22 51 20.047,22.85,15.0,0.02,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.85 TargTemp: 5.0,
2022-10-04 22 51 40.048,22.85,15.0,0.02,15.01,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.85 TargTemp: 5.0,
2022-10-04 22 52 00.049,22.87,15.0,0.01,15.0,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.87 TargTemp: 5.0,
2022-10-04 22 52 20.050,22.87,15.0,0.01,15.0,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.87 TargTemp: 5.0,
2022-10-04 22 52 40.050,22.87,15.0,0.01,15.0,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.87 TargTemp: 5.0,
2022-10-04 22 53 00.051,22.88,15.0,0.01,15.0,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.88 TargTemp: 5.0,
2022-10-04 22 53 20.051,22.88,15.0,0.01,15.0,4.5,14.625,14.875,OFF,0,0,,day: 1 hour: 22.88 TargTemp: 5.0,
2022-10-04 22 53 40.052,22.88,15.0,0.01,15.0,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.88 TargTemp: 5.0,
2022-10-04 22 54 00.052,22.9,14.9375,-0.18,14.88,4.5,14.6875,14.875,OFF,0,0,,day: 1 hour: 22.9 TargTemp: 5.0,
