Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-05 06 58 00.000,6.97,15.0,0.0,15.0,9.5,14.6875,14.9375,OFF,0,0,start,,day: 2 hour: 6.97 TargTemp: 10.0,
2022-10-05 06 58 19.996,6.97,15.0,0.0,15.0,9.5,14.6875,14.9375,OFF,0,0,start,,day: 2 hour: 6.97 TargTemp: 10.0,
2022-10-05 06 58 40.003,6.97,15.0,0.0,15.0,9.5,14.6875,14.9375,OFF,0,0,start,,day: 2 hour: 6.97 TargTemp: 10.0,
2022-10-05 06 59 00.009,6.98,15.0,0.0,15.0,9.5,14.6875,14.9375,OFF,0,0,start,,day: 2 hour: 6.98 TargTemp: 10.0,
2022-10-05 06 59 20.006,6.98,15.0,0.0,15.0,9.5,14.6875,14.9375,OFF,0,0,start,,day: 2 hour: 6.98 TargTemp: 10.0,
2022-10-05 06 59 40.012,6.98,15.0,0.0,15.0,9.5,14.625,14.9375,OFF,0,0,,day: 2 hour: 6.98 TargTemp: 10.0,
2022-10-05 07 00 00.017,7.0,15.0,0.0,15.0,9.0,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.0 TargTemp: 9.5,
2022-10-05 07 00 20.020,7.0,15.0,0.0,15.0,8.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.0 TargTemp: 9.0,
2022-10-05 07 00 40.015,7.0,15.0,0.0,15.0,8.0,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.0 TargTemp: 8.5,
2022-10-05 07 01 00.019,7.02,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.02 TargTemp: 12.0,
2022-10-05 07 01 20.023,7.02,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.02 TargTemp: 12.0,
2022-10-05 07 01 40.026,7.02,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.02 TargTemp: 12.0,
2022-10-05 07 02 00.026,7.03,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.03 TargTemp: 12.0,
2022-10-05 07 02 20.029,7.03,15.0,0.0,15.0,11.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.03 TargTemp: 12.0,
2022-10-05 07 02 40.031,7.03,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.03 TargTemp: 12.0,
2022-10-05 07 03 00.033,7.05,15.0,0.0,15.0,11.5,14.625,14.9375,OFF,0,0,,day: 2 hour: 7.05 TargTemp: 12.0,
2022-10-05 07 03 20.035,7.05,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.05 TargTemp: 12.0,
2022-10-05 07 03 40.036,7.05,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.05 TargTemp: 12.0,
2022-10-05 07 04 00.037,7.07,15.0,0.0,15.0,11.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.07 TargTemp: 12.0,
2022-10-05 07 04 20.038,7.07,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.07 TargTemp: 12.0,
2022-10-05 07 04 40.039,7.07,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.07 TargTemp: 12.0,
2022-10-05 07 05 00.040,7.08,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.08 TargTemp: 12.0,
2022-10-05 07 05 20.040,7.08,15.0,0.0,15.0,11.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.08 TargTemp: 12.0,
2022-10-05 07 05 40.041,7.08,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.08 TargTemp: 12.0,
2022-10-05 07 06 00.041,7.1,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.1 TargTemp: 12.0,
2022-10-05 07 06 20.041,7.1,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.1 TargTemp: 12.0,
2022-10-05 07 06 40.042,7.1,15.0,0.0,15.0,11.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.1 TargTemp: 12.0,
2022-10-05 07 07 00.042,7.12,15.0,0.0,15.0,11.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.12 TargTemp: 12.0,
2022-10-05 07 07 20.042,7.12,15.0,0.0,15.0,11.5,14.6875,15.0,OFF,0,0,,day: 2 hour: 7.12 TargTemp: 12.0,
2022-10-05 07 07 40.042,7.12,15.0,0.0,15.0,11.5,14.6875,14.9375,OFF,0,0,,day: 2 hour: 7.12 TargTemp: 12.0,
