Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-05 17 12 00.000,17.2,16.125,0.0,16.12,4.75,15.75,15.625,OFF,0,0,start,,day: 2 hour: 17.2 TargTemp: 5.0,
2022-10-05 17 12 19.996,17.2,16.125,0.0,16.12,4.75,15.75,15.625,OFF,0,0,start,,day: 2 hour: 17.2 TargTemp: 5.0,
2022-10-05 17 12 40.004,17.2,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,start,,day: 2 hour: 17.2 TargTemp: 5.0,
2022-10-05 17 13 00.006,17.22,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,start,,day: 2 hour: 17.22 TargTemp: 5.0,
2022-10-05 17 13 20.006,17.22,16.125,0.0,16.12,4.75,15.6875,15.6875,OFF,0,0,start,,day: 2 hour: 17.22 TargTemp: 5.0,
2022-10-05 17 13 40.012,17.22,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.22 TargTemp: 5.0,
2022-10-05 17 14 00.017,17.23,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.23 TargTemp: 5.0,
2022-10-05 17 14 20.021,17.23,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.23 TargTemp: 5.0,
2022-10-05 17 14 40.021,17.23,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.23 TargTemp: 5.0,
2022-10-05 17 15 00.024,17.25,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.25 TargTemp: 5.0,
2022-10-05 17 15 20.027,17.25,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.25 TargTemp: 5.0,
2022-10-05 17 15 40.030,17.25,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.25 TargTemp: 5.0,
2022-10-05 17 16 00.022,17.27,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.27 TargTemp: 5.0,
2022-10-05 17 16 20.025,17.27,16.125,0.0,16.12,4.75,15.6875,15.625,OFF,0,0,,day: 2 hour: 17.27 TargTemp: 5.0,
2022-10-05 17 16 40.021,17.27,16.125,0.0,16.12,4.75,15.6875,15.5625,OFF,0,0,,day: 2 hour: 17.27 TargTemp: 5.0,
2022-10-05 17 17 00.024,17.28,16.125,0.0,16.12,4.75,15.6875,15.5625,OFF,0,0,,day: 2 hour: 17.28 TargTemp: 5.0,
2022-10-05 17 17 20.027,17.28,16.125,0.0,16.12,4.75,15.6875,15.5625,OFF,0,0,,day: 2 hour: 17.28 TargTemp: 5.0,
2022-10-05 17 17 40.030,17.28,16.125,0.0,16.12,4.75,15.6875,15.5,OFF,0,0,,day: 2 hour: 17.28 TargTemp: 5.0,
2022-10-05 17 18 00.032,17.3,16.125,0.0,16.12,4.75,15.6875,15.5,OFF,0,0,,day: 2 hour: 17.3 TargTemp: 5.0,
2022-10-05 17 18 20.033,17.3,16.125,0.0,16.12,4.75,15.6875,15.5,OFF,0,0,,day: 2 hour: 17.3 TargTemp: 5.0,
2022-10-05 17 18 40.035,17.3,16.125,0.0,16.12,4.75,15.6875,15.5,OFF,0,0,,day: 2 hour: 17.3 TargTemp: 5.0,
2022-10-05 17 19 00.036,17.32,16.125,0.0,16.12,4.75,15.6875,15.4375,OFF,0,0,,day: 2 hour: 17.32 TargTemp: 5.0,
2022-10-05 17 19 20.037,17.32,16.125,0.0,16.12,4.75,15.6875,15.4375,OFF,0,0,,day: 2 hour: 17.32 TargTemp: 5.0,
2022-10-05 17 19 40.038,17.32,16.125,0.0,16.12,4.75,15.6875,15.4375,OFF,0,0,,day: 2 hour: 17.32 TargTemp: 5.0,
2022-10-05 17 20 00.036,17.33,16.125,0.0,16.12,4.75,15.6875,15.4375,OFF,0,0,,day: 2 hour: 17.33 TargTemp: 5.0,
2022-10-05 17 20 20.037,17.33,16.125,0.0,16.12,4.75,15.6875,15.4375,OFF,0,0,,day: 2 hour: 17.33 TargTemp: 5.0,
2022-10-05 17 20 40.038,17.33,16.125,0.0,16.12,4.75,15.6875,15.4375,OFF,0,0,,day: 2 hour: 17.33 TargTemp: 5.0,
2022-10-05 17 21 00.036,17.35,16.0625,-0.19,16.0,4.75,15.6875,15.4375,OFF,0,0,,day: 2 hour: 17.35 TargTemp: 5.0,
2022-10-05 17 21 20.037,17.35,16.0625,-0.17,16.01,4.75,15.6875,15.4375,OFF,0,0,,day: 2 hour: 17.35 TargTemp: 5.0,
2022-10-05 17 21 40.038,17.35,16.0625,-0.15,16.01,4.75,15.6875,15.375,OFF,0,0,,day: 2 hour: 17.35 TargTemp: 5.0,
2022-10-05 17 22 00.036,17.37,16.0625,-0.14,16.02,4.75,15.625,15.375,OFF,0,0,,day: 2 hour: 17.37 TargTemp: 5.0,
2022-10-05 17 22 20.037,17.37,16.0625,-0.12,16.02,4.75,15.6875,15.375,OFF,0,0,,day: 2 hour: 17.37 TargTemp: 5.0,
2022-10-05 17 22 40.038,17.37,16.0625,-0.11,16.03,4.75,15.6875,15.375,OFF,0,0,,day: 2 hour: 17.37 TargTemp: 5.0,
2022-10-05 17 23 00.039,17.38,16.0625,-0.1,16.03,4.75,15.6875,15.375,OFF,0,0,,day: 2 hour: 17.38 TargTemp: 5.0,
2022-10-05 17 23 20.040,17.38,16.0625,-0.09,16.03,4.75,15.6875,15.375,OFF,0,0,,day: 2 hour: 17.38 TargTemp: 5.0,
2022-10-05 17 23 40.040,17.38,16.0625,-0.08,16.04,4.75,15.6875,15.375,OFF,0,0,,day: 2 hour: 17.38 TargTemp: 5.0,
2022-10-05 17 24 00.041,17.4,16.0625,-0.07,16.04,4.75,15.625,15.3125,OFF,0,0,,day: 2 hour: 17.4 TargTemp: 5.0,
2022-10-05 17 24 20.041,17.4,16.0625,-0.07,16.04,4.75,15.625,15.3125,OFF,0,0,,day: 2 hour: 17.4 TargTemp: 5.0,
2022-10-05 17 24 40.041,17.4,16.0625,-0.06,16.04,4.75,15.6875,15.3125,OFF,0,0,,day: 2 hour: 17.4 TargTemp: 5.0,
2022-10-05 17 25 00.042,17.42,16.0625,-0.05,16.04,4.75,15.625,15.3125,OFF,0,0,,day: 2 hour: 17.42 TargTemp: 5.0,
2022-10-05 17 25 20.042,17.42,16.0625,-0.05,16.05,4.75,15.6875,15.25,OFF,0,0,,day: 2 hour: 17.42 TargTemp: 5.0,
2022-10-05 17 25 40.042,17.42,16.0625,-0.04,16.05,4.75,15.625,15.25,OFF,0,0,,day: 2 hour: 17.42 TargTemp: 5.0,
2022-10-05 17 26 00.042,17.43,16.0625,-0.04,16.05,4.75,15.6875,15.25,OFF,0,0,,day: 2 hour: 17.43 TargTemp: 5.0,
2022-10-05 17 26 20.031,17.43,16.0625,-0.03,16.05,4.75,15.625,15.25,OFF,0,0,,day: 2 hour: 17.43 TargTemp: 5.0,
2022-10-05 17 26 40.026,17.43,16.0625,-0.03,16.05,4.75,15.625,15.25,OFF,0,0,,day: 2 hour: 17.43 TargTemp: 5.0,
2022-10-05 17 27 00.029,17.45,16.0625,-0.03,16.05,4.75,15.625,15.25,OFF,0,0,,day: 2 hour: 17.45 TargTemp: 5.0,
