Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-04 21 26 00.000,21.43,14.875,0.19,14.94,4.5,14.5,14.8125,OFF,0,0,start,,day: 1 hour: 21.43 TargTemp: 5.0,
2022-10-04 21 26 20.007,21.43,14.8125,-0.02,14.81,4.5,14.5,14.8125,OFF,0,0,start,,day: 1 hour: 21.43 TargTemp: 5.0,
2022-10-04 21 26 40.006,21.43,14.8125,-0.02,14.81,4.5,14.5,14.8125,OFF,0,0,start,,day: 1 hour: 21.43 TargTemp: 5.0,
2022-10-04 21 27 00.013,21.45,14.8125,-0.02,14.81,4.5,14.5,14.8125,OFF,0,0,start,,day: 1 hour: 21.45 TargTemp: 5.0,
2022-10-04 21 27 20.019,21.45,14.8125,-0.01,14.81,4.5,14.5,14.875,OFF,0,0,start,,day: 1 hour: 21.45 TargTemp: 5.0,
2022-10-04 21 27 40.017,21.45,14.8125,-0.01,14.81,4.5,14.5,14.8125,OFF,0,0,,day: 1 hour: 21.45 TargTemp: 5.0,
2022-10-04 21 28 00.022,21.47,14.875,0.18,14.93,4.5,14.5,14.8125,OFF,0,0,,day: 1 hour: 21.47 TargTemp: 5.0,
2022-10-04 21 28 20.027,21.47,14.875,0.16,14.93,4.5,14.5,14.875,OFF,0,0,,day: 1 hour: 21.47 TargTemp: 5.0,
2022-10-04 21 28 40.031,21.47,14.8125,-0.04,14.8,4.5,14.5,14.8125,OFF,0,0,,day: 1 hour: 21.47 TargTemp: 5.0,
2022-10-04 21 29 00.035,21.48,14.875,0.15,14.92,4.5,14.5,14.8125,OFF,0,0,,day: 1 hour: 21.48 TargTemp: 5.0,
2022-10-04 21 29 20.038,21.48,14.8125,-0.05,14.79,4.5,14.5,14.875,OFF,0,0,,day: 1 hour: 21.48 TargTemp: 5.0,
2022-10-04 21 29 40.040,21.48,14.875,0.14,14.92,4.5,14.5,14.8125,OFF,0,0,,day: 1 hour: 21.48 TargTemp: 5.0,
2022-10-04 21 30 00.042,21.5,14.875,0.12,14.92,4.0,14.5,14.8125,OFF,0,0,,day: 1 hour: 21.5 TargTemp: 4.5,
2022-10-04 21 30 20.044,21.5,14.875,0.11,14.91,3.5,14.5,14.8125,OFF,0,0,,day: 1 hour: 21.5 TargTemp: 4.0,
2022-10-04 21 30 40.045,21.5,14.875,0.1,14.91,3.0,14.5,14.8125,OFF,0,0,,day: 1 hour: 21.5 TargTemp: 3.5,
2022-10-04 21 31 00.046,21.52,14.875,0.09,14.91,15.0,14.5,14.8125,ON,0,5.73,heatersON,day: 1 hour: 21.52 TargTemp: 15.5heaters Turned,
2022-10-04 21 31 20.046,21.52,14.875,0.08,14.9,16.0,14.5,14.8125,ON,0,5.73,,day: 1 hour: 21.52 TargTemp: 15.5,
2022-10-04 21 31 40.047,21.52,14.875,0.07,14.9,16.0,14.5,14.8125,ON,0,5.73,,day: 1 hour: 21.52 TargTemp: 15.5,
2022-10-04 21 32 00.048,21.53,14.8125,-0.12,14.77,16.0,14.5,14.8125,ON,0,5.73,,day: 1 hour: 21.53 TargTemp: 15.5,
2022-10-04 21 32 20.046,21.53,14.875,0.08,14.9,16.0,14.5625,14.875,ON,0,5.73,,day: 1 hour: 21.53 TargTemp: 15.5,
2022-10-04 21 32 40.046,21.53,14.875,0.07,14.9,16.0,14.5625,14.8125,ON,0,5.73,,day: 1 hour: 21.53 TargTemp: 15.5,
2022-10-04 21 33 00.047,21.55,14.875,0.06,14.9,16.0,14.5625,14.8125,ON,0,5.73,,day: 1 hour: 21.55 TargTemp: 15.5,
2022-10-04 21 33 20.050,21.55,14.9375,0.24,15.02,16.0,14.6875,14.8125,ON,0,5.73,,day: 1 hour: 21.55 TargTemp: 15.5,
2022-10-04 21 33 40.050,21.55,15.0,0.41,15.14,16.0,14.75,14.875,ON,0,5.73,,day: 1 hour: 21.55 TargTemp: 15.5,
2022-10-04 21 34 00.051,21.57,15.0625,0.55,15.25,16.0,14.8125,14.8125,ON,0,5.73,,day: 1 hour: 21.57 TargTemp: 15.5,
2022-10-04 21 34 20.051,21.57,15.125,0.69,15.35,16.0,14.9375,14.8125,ON,0,5.73,,day: 1 hour: 21.57 TargTemp: 15.5,
2022-10-04 21 34 40.052,21.57,15.1875,0.81,15.46,16.0,15.0625,14.875,ON,0,5.73,,day: 1 hour: 21.57 TargTemp: 15.5,
2022-10-04 21 35 00.052,21.58,15.25,0.91,15.55,16.0,15.125,14.8125,ON,0,5.73,,day: 1 hour: 21.58 TargTemp: 15.5,
2022-10-04 21 35 20.052,21.58,15.3125,1.01,15.65,16.0,15.25,14.875,ON,0,5.73,,day: 1 hour: 21.58 TargTemp: 15.5,
