Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-05 10 49 00.000,10.82,16.25,0.0,16.25,16.75,15.875,15.5,ON,0,0.38,heatersONstart,,day: 2 hour: 10.82 TargTemp: 17.0heaters Turned,
2022-10-05 10 49 20.007,10.82,16.25,0.0,16.25,17.25,15.875,15.4375,ON,0,0.38,start,,day: 2 hour: 10.82 TargTemp: 17.0,
2022-10-05 10 49 40.006,10.82,16.25,0.0,16.25,17.25,15.875,15.4375,ON,0,0.38,start,,day: 2 hour: 10.82 TargTemp: 17.0,
2022-10-05 10 50 00.013,10.83,16.25,0.0,16.25,17.25,15.875,15.375,ON,0,0.38,start,,day: 2 hour: 10.83 TargTemp: 17.0,
2022-10-05 10 50 20.019,10.83,16.25,0.0,16.25,17.25,15.875,15.3125,ON,0,0.38,start,,day: 2 hour: 10.83 TargTemp: 17.0,
2022-10-05 10 50 40.025,10.83,16.3125,0.19,16.38,17.25,15.875,15.25,ON,0,0.38,,day: 2 hour: 10.83 TargTemp: 17.0,
2022-10-05 10 51 00.029,10.85,16.3125,0.17,16.37,17.25,16.0,15.1875,ON,0,0.38,,day: 2 hour: 10.85 TargTemp: 17.0,
2022-10-05 10 51 20.033,10.85,16.375,0.34,16.49,17.25,16.0625,15.1875,ON,0,0.38,,day: 2 hour: 10.85 TargTemp: 17.0,
2022-10-05 10 51 40.036,10.85,16.4375,0.49,16.6,17.25,16.1875,15.1875,ON,0,0.38,,day: 2 hour: 10.85 TargTemp: 17.0,
2022-10-05 10 52 00.039,10.87,16.5,0.63,16.71,17.25,16.1875,15.1875,ON,0,0.38,,day: 2 hour: 10.87 TargTemp: 17.0,
2022-10-05 10 52 20.041,10.87,16.5625,0.76,16.81,17.25,16.25,15.1875,ON,0,0.38,,day: 2 hour: 10.87 TargTemp: 17.0,
2022-10-05 10 52 40.036,10.87,16.625,0.87,16.91,17.25,16.3125,15.125,ON,0,0.38,,day: 2 hour: 10.87 TargTemp: 17.0,
2022-10-05 10 53 00.039,10.88,16.6875,0.97,17.01,17.25,16.375,15.125,ON,0,0.38,,day: 2 hour: 10.88 TargTemp: 17.0,
2022-10-05 10 53 20.041,10.88,16.6875,0.87,16.98,17.25,16.4375,15.125,ON,0,0.38,,day: 2 hour: 10.88 TargTemp: 17.0,
2022-10-05 10 53 40.036,10.88,16.75,0.97,17.07,17.25,16.4375,15.125,ON,0,0.38,,day: 2 hour: 10.88 TargTemp: 17.0,
2022-10-05 10 54 00.039,10.9,16.75,0.87,17.04,17.25,16.4375,15.125,ON,0,0.38,,day: 2 hour: 10.9 TargTemp: 17.0,
2022-10-05 10 54 20.032,10.9,16.8125,0.97,17.14,17.25,16.4375,15.125,ON,0,0.38,,day: 2 hour: 10.9 TargTemp: 17.0,
2022-10-05 10 54 40.035,10.9,16.8125,0.88,17.1,17.25,16.4375,15.125,ON,0,0.38,,day: 2 hour: 10.9 TargTemp: 17.0,
2022-10-05 10 55 00.038,10.92,16.8125,0.79,17.08,17.25,16.4375,15.125,ON,0,0.38,,day: 2 hour: 10.92 TargTemp: 17.0,
2022-10-05 10 55 20.041,10.92,16.8125,0.71,17.05,17.25,16.4375,15.125,ON,0,0.38,,day: 2 hour: 10.92 TargTemp: 17.0,
2022-10-05 10 55 40.043,10.92,16.8125,0.64,17.03,17.25,16.5,15.1875,ON,0,0.38,,day: 2 hour: 10.92 TargTemp: 17.0,
2022-10-05 10 56 00.044,10.93,16.875,0.76,17.13,17.25,16.5,15.1875,ON,0,0.38,,day: 2 hour: 10.93 TargTemp: 17.0,
2022-10-05 10 56 20.046,10.93,16.875,0.69,17.1,17.25,16.5,15.1875,ON,0,0.38,,day: 2 hour: 10.93 TargTemp: 17.0,
2022-10-05 10 56 40.046,10.93,16.9375,0.81,17.21,17.25,16.5625,15.1875,ON,0,0.38,,day: 2 hour: 10.93 TargTemp: 17.0,
2022-10-05 10 57 00.046,10.95,16.9375,0.72,17.18,17.25,16.5625,15.1875,ON,0,0.38,,day: 2 hour: 10.95 TargTemp: 17.0,
2022-10-05 10 57 20.046,10.95,16.9375,0.65,17.15,17.25,16.5625,15.1875,ON,0,0.38,,day: 2 hour: 10.95 TargTemp: 17.0,
2022-10-05 10 57 40.047,10.95,16.9375,0.59,17.13,17.25,16.5625,15.25,ON,0,0.38,,day: 2 hour: 10.95 TargTemp: 17.0,
2022-10-05 10 58 00.048,10.97,17.0,0.72,17.24,17.25,16.625,15.25,ON,0,0.38,,day: 2 hour: 10.97 TargTemp: 17.0,
2022-10-05 10 58 20.049,10.97,17.0,0.64,17.21,17.25,16.625,15.25,ON,0,0.38,,day: 2 hour: 10.97 TargTemp: 17.0,
2022-10-05 10 58 40.050,10.97,17.0,0.58,17.19,17.25,16.625,15.3125,ON,0,0.38,,day: 2 hour: 10.97 TargTemp: 17.0,
2022-10-05 10 59 00.046,10.98,17.0,0.52,17.17,17.25,16.625,15.3125,ON,0,0.38,,day: 2 hour: 10.98 TargTemp: 17.0,
2022-10-05 10 59 20.046,10.98,17.0,0.47,17.16,17.25,16.625,15.375,ON,0,0.38,,day: 2 hour: 10.98 TargTemp: 17.0,
2022-10-05 10 59 40.046,10.98,17.0,0.42,17.14,17.25,16.625,15.375,ON,0,0.38,,day: 2 hour: 10.98 TargTemp: 17.0,
2022-10-05 11 00 00.046,11.0,17.0625,0.57,17.25,17.5,16.625,15.4375,ON,0,0.38,,day: 2 hour: 11.0 TargTemp: 17.25,
2022-10-05 11 00 20.046,11.0,17.0625,0.51,17.23,17.75,16.625,15.4375,ON,0,0.38,,day: 2 hour: 11.0 TargTemp: 17.5,
2022-10-05 11 00 40.046,11.0,17.0625,0.46,17.22,18.0,16.625,15.5,ON,0,0.38,,day: 2 hour: 11.0 TargTemp: 17.75,
2022-10-05 11 01 00.042,11.02,17.0625,0.41,17.2,16.25,16.625,15.5,OFF,0,0.38,heaters Off,,day: 2 hour: 11.02 TargTemp: 16.0 heaters Turned OFF,
