Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-05 14 33 00.000,14.55,16.1875,0.0,16.19,15.75,15.8125,15.5,OFF,0,0,start,,day: 2 hour: 14.55 TargTemp: 16.0,
2022-10-05 14 33 20.007,14.55,16.1875,0.0,16.19,15.75,15.8125,15.5,OFF,0,0,start,,day: 2 hour: 14.55 TargTemp: 16.0,
2022-10-05 14 33 40.014,14.55,16.1875,0.0,16.19,15.75,15.8125,15.5,OFF,0,0,start,,day: 2 hour: 14.55 TargTemp: 16.0,
2022-10-05 14 34 00.020,14.57,16.1875,0.0,16.19,15.75,15.8125,15.5,OFF,0,0,start,,day: 2 hour: 14.57 TargTemp: 16.0,
2022-10-05 14 34 20.025,14.57,16.1875,0.0,16.19,15.75,15.8125,15.4375,OFF,0,0,start,,day: 2 hour: 14.57 TargTemp: 16.0,
2022-10-05 14 34 40.030,14.57,16.1875,0.0,16.19,15.75,15.8125,15.4375,OFF,0,0,,day: 2 hour: 14.57 TargTemp: 16.0,
2022-10-05 14 35 00.033,14.58,16.1875,0.0,16.19,15.75,15.8125,15.4375,OFF,0,0,,day: 2 hour: 14.58 TargTemp: 16.0,
2022-10-05 14 35 20.036,14.58,16.1875,0.0,16.19,15.75,15.8125,15.375,OFF,0,0,,day: 2 hour: 14.58 TargTemp: 16.0,
2022-10-05 14 35 40.036,14.58,16.1875,0.0,16.19,15.75,15.8125,15.3125,OFF,0,0,,day: 2 hour: 14.58 TargTemp: 16.0,
2022-10-05 14 36 00.036,14.6,16.1875,0.0,16.19,15.75,15.8125,15.3125,OFF,0,0,,day: 2 hour: 14.6 TargTemp: 16.0,
2022-10-05 14 36 20.039,14.6,16.1875,0.0,16.19,15.75,15.8125,15.25,OFF,0,0,,day: 2 hour: 14.6 TargTemp: 16.0,
2022-10-05 14 36 40.041,14.6,16.1875,0.0,16.19,15.75,15.8125,15.1875,OFF,0,0,,day: 2 hour: 14.6 TargTemp: 16.0,
2022-10-05 14 37 00.043,14.62,16.1875,0.0,16.19,15.75,15.8125,15.1875,OFF,0,0,,day: 2 hour: 14.62 TargTemp: 16.0,
2022-10-05 14 37 20.045,14.62,16.1875,0.0,16.19,15.75,15.8125,15.1875,OFF,0,0,,day: 2 hour: 14.62 TargTemp: 16.0,
2022-10-05 14 37 40.046,14.62,16.1875,0.0,16.19,15.75,15.8125,15.125,OFF,0,0,,day: 2 hour: 14.62 TargTemp: 16.0,
2022-10-05 14 38 00.046,14.63,16.1875,0.0,16.19,15.75,15.8125,15.125,OFF,0,0,,day: 2 hour: 14.63 TargTemp: 16.0,
2022-10-05 14 38 20.047,14.63,16.1875,0.0,16.19,15.75,15.8125,15.0625,OFF,0,0,,day: 2 hour: 14.63 TargTemp: 16.0,
2022-10-05 14 38 40.048,14.63,16.1875,0.0,16.19,15.75,15.8125,15.0625,OFF,0,0,,day: 2 hour: 14.63 TargTemp: 16.0,
2022-10-05 14 39 00.049,14.65,16.1875,0.0,16.19,15.75,15.8125,15.0,OFF,0,0,,day: 2 hour: 14.65 TargTemp: 16.0,
2022-10-05 14 39 20.050,14.65,16.1875,0.0,16.19,15.75,15.8125,15.0,OFF,0,0,,day: 2 hour: 14.65 TargTemp: 16.0,
2022-10-05 14 39 40.051,14.65,16.1875,0.0,16.19,15.75,15.8125,15.0,OFF,0,0,,day: 2 hour: 14.65 TargTemp: 16.0,
2022-10-05 14 40 00.046,14.67,16.1875,0.0,16.19,15.75,15.8125,15.0,OFF,0,0,,day: 2 hour: 14.67 TargTemp: 16.0,
2022-10-05 14 40 20.046,14.67,16.1875,0.0,16.19,15.75,15.8125,15.0,OFF,0,0,,day: 2 hour: 14.67 TargTemp: 16.0,
2022-10-05 14 40 40.047,14.67,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.67 TargTemp: 16.0,
2022-10-05 14 41 00.048,14.68,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.68 TargTemp: 16.0,
2022-10-05 14 41 20.046,14.68,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.68 TargTemp: 16.0,
2022-10-05 14 41 40.047,14.68,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.68 TargTemp: 16.0,
2022-10-05 14 42 00.048,14.7,16.1875,0.0,16.19,15.75,15.75,14.875,OFF,0,0,,day: 2 hour: 14.7 TargTemp: 16.0,
2022-10-05 14 42 20.046,14.7,16.1875,0.0,16.19,15.75,15.75,14.9375,OFF,0,0,,day: 2 hour: 14.7 TargTemp: 16.0,
2022-10-05 14 42 40.047,14.7,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.7 TargTemp: 16.0,
2022-10-05 14 43 00.046,14.72,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.72 TargTemp: 16.0,
2022-10-05 14 43 20.046,14.72,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.72 TargTemp: 16.0,
2022-10-05 14 43 40.046,14.72,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.72 TargTemp: 16.0,
2022-10-05 14 44 00.047,14.73,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.73 TargTemp: 16.0,
2022-10-05 14 44 20.046,14.73,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.73 TargTemp: 16.0,
2022-10-05 14 44 40.047,14.73,16.1875,0.0,16.19,15.75,15.8125,14.9375,OFF,0,0,,day: 2 hour: 14.73 TargTemp: 16.0,
2022-10-05 14 45 00.048,14.75,16.1875,0.0,16.19,15.75,15.75,14.9375,OFF,0,0,,day: 2 hour: 14.75 TargTemp: 16.0,
2022-10-05 14 45 20.046,14.75,16.1875,0.0,16.19,15.75,15.75,15.0,OFF,0,0,,day: 2 hour: 14.75 TargTemp: 16.0,
2022-10-05 14 45 40.047,14.75,16.1875,0.0,16.19,15.75,15.8125,15.0,OFF,0,0,,day: 2 hour: 14.75 TargTemp: 16.0,
2022-10-05 14 46 00.048,14.77,16.1875,0.0,16.19,15.75,15.75,15.0,OFF,0,0,,day: 2 hour: 14.77 TargTemp: 16.0,
2022-10-05 14 46 20.049,14.77,16.1875,0.0,16.19,15.75,15.75,15.0,OFF,0,0,,day: 2 hour: 14.77 TargTemp: 16.0,
2022-10-05 14 46 40.050,14.77,16.1875,0.0,16.19,15.75,15.75,15.0,OFF,0,0,,day: 2 hour: 14.77 TargTemp: 16.0,
