Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-04 20 57 00.000,20.95,14.8125,-0.19,14.75,4.5,14.5,14.8125,OFF,0,0,start,,day: 1 hour: 20.95 TargTemp: 5,
2022-10-04 20 57 20.007,20.95,14.8125,-0.17,14.76,4.5,14.5,14.8125,OFF,0,0,start,,day: 1 hour: 20.95 TargTemp: 5,
2022-10-04 20 57 40.014,20.95,14.8125,-0.15,14.76,4.5,14.5,14.8125,OFF,0,0,start,,day: 1 hour: 20.95 TargTemp: 5,
2022-10-04 20 58 00.020,20.97,14.8125,-0.14,14.77,4.5,14.5,14.8125,OFF,0,0,start,,day: 1 hour: 20.97 TargTemp: 5,
