Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-06 07 13 00.000,7.22,13.1875,0.0,13.19,4.75,12.875,13.75,OFF,0,0,start,,day: 3 hour: 7.22 TargTemp: 5.0,
2022-10-06 07 13 20.007,7.22,13.1875,0.0,13.19,4.75,12.875,13.75,OFF,0,0,start,,day: 3 hour: 7.22 TargTemp: 5.0,
2022-10-06 07 13 40.014,7.22,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,start,,day: 3 hour: 7.22 TargTemp: 5.0,
2022-10-06 07 14 00.016,7.23,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,start,,day: 3 hour: 7.23 TargTemp: 5.0,
2022-10-06 07 14 20.022,7.23,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,start,,day: 3 hour: 7.23 TargTemp: 5.0,
2022-10-06 07 14 40.026,7.23,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,,day: 3 hour: 7.23 TargTemp: 5.0,
2022-10-06 07 15 00.026,7.25,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,,day: 3 hour: 7.25 TargTemp: 5.0,
2022-10-06 07 15 20.030,7.25,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,,day: 3 hour: 7.25 TargTemp: 5.0,
2022-10-06 07 15 40.034,7.25,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,,day: 3 hour: 7.25 TargTemp: 5.0,
2022-10-06 07 16 00.036,7.27,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,,day: 3 hour: 7.27 TargTemp: 5.0,
2022-10-06 07 16 20.039,7.27,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,,day: 3 hour: 7.27 TargTemp: 5.0,
2022-10-06 07 16 40.041,7.27,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,,day: 3 hour: 7.27 TargTemp: 5.0,
